Score;Genres;Type;Episodes;Studios;Source
9.19;Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen;TV;64;Bones;Manga
9.17;Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen;TV;16;MAPPA;Manga
9.11;Thriller, Sci-Fi;TV;24;White Fox;Visual novel
9.1;Action, Adventure, Fantasy, Shounen, Super Power;TV;148;Madhouse;Manga
9.1;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;51;Bandai Namco Pictures;Manga
9.1;Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power;TV;10;Wit Studio;Manga
9.08;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;TV;51;Sunrise;Manga
9.07;Military, Sci-Fi, Space, Drama;OVA;110;Artland, Magic Bus;Novel
9.04;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;13;Sunrise;Manga
9.0;Drama, School, Shounen;Movie;1;Kyoto Animation;Manga
9.0;Drama, Game, Seinen, Slice of Life;TV;22;Shaft;Manga
8.99;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;12;Bandai Namco Pictures;Manga
8.96;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;201;Sunrise;Manga
8.96;Slice of Life, Comedy, Supernatural, Drama, Romance;TV;24;Kyoto Animation;Visual novel
8.96;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;Movie;1;Sunrise;Manga
8.96;Romance, Supernatural, School, Drama;Movie;1;CoMix Wave Films;Original
8.93;Mystery, Comedy, Supernatural, Vampire;TV;7;Shaft;Light novel
8.91;Action, Military, Sci-Fi, Super Power, Drama, Mecha;TV;25;Sunrise;Original
8.88;Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen;Movie;1;Bandai Namco Pictures;Manga
8.87;Comedy, Sports, Drama, School, Shounen;TV;10;Production I.G;Manga
8.86;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;TV;14;Bandai Namco Pictures;Manga
8.84;Action, Slice of Life, Comedy, Supernatural;TV;13;Bones;Web manga
8.83;Adventure, Supernatural, Drama;Movie;1;Studio Ghibli;Original
8.82;Action, Mystery, Supernatural, Vampire;Movie;1;Shaft;Light novel
8.81;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;12;Bandai Namco Pictures;Manga
8.79;Action, Supernatural, Magic, Fantasy;Movie;1;ufotable;Visual novel
8.79;Drama, Historical, Josei;TV;12;Studio Deen;Manga
8.78;Action, Adventure, Comedy, Drama, Sci-Fi, Space;TV;26;Sunrise;Original
8.78;Mystery, Comedy, Supernatural, Romance, Vampire;TV;26;Shaft;Light novel
8.76;Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller;TV;74;Madhouse;Manga
8.76;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;TV;10;Artland;Manga
8.75;Comedy, Sports, Drama, Shounen;TV;75;Madhouse;Manga
8.74;Drama, Music, Romance, School, Shounen;TV;22;A-1 Pictures;Manga
8.74;Sci-Fi, Adventure, Mystery, Drama, Fantasy;TV;13;Kinema Citrus;Web manga
8.74;Sci-Fi, Adventure, Mystery, Drama, Fantasy;Movie;1;Kinema Citrus;Web manga
8.74;Comedy, Psychological, Romance, School, Seinen;TV;12;A-1 Pictures;Manga
8.73;Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen;OVA;4;Studio Deen;Manga
8.73;Comedy, Sports, Drama, School, Shounen;TV;25;Production I.G;Manga
8.72;Action, Adventure, Fantasy;Movie;1;Studio Ghibli;Original
8.72;Action, Military, Sci-Fi, Super Power, Drama, Mecha, School;TV;25;Sunrise;Original
8.72;Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen;TV;10;Artland;Manga
8.72;Action, Historical, Demons, Supernatural, Shounen;Movie;1;ufotable;Manga
8.71;Action, Adventure, Drama, Historical, Seinen;TV;24;Wit Studio;Manga
8.7;Slice of Life, Comedy, Drama, School, Shounen;TV;43;Studio Pierrot;Manga
8.69;Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen;TV;26;Artland;Manga
8.68;Supernatural, Drama, Romance, School;Movie;1;CloverWorks;Light novel
8.67;Adventure, Drama, Fantasy, Romance;Movie;1;Studio Ghibli;Novel
8.67;Action, Drama, Shounen, Slice of Life, Sports;TV;47;Tokyo Movie Shinsha;Manga
8.67;Comedy, Sports, Drama, Shounen;TV;26;Madhouse;Manga
8.67;Slice of Life, Demons, Supernatural, Drama, Shoujo;TV;13;Brain's Base;Manga
8.66;Action, Adventure, Comedy, Mecha, Sci-Fi;TV;27;Gainax;Original
8.65;Comedy, Mystery, Romance, School, Sci-Fi, Supernatural;Movie;1;Kyoto Animation;Light novel
8.65;Slice of Life, Demons, Supernatural, Drama, Shoujo;TV;11;Shuka;Manga
8.65;Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen;TV;12;CloverWorks;Manga
8.65;Slice of Life, Drama, Fantasy;Movie;1;Kyoto Animation;Light novel
8.64;Fantasy, Slice of Life;Movie;1;Studio Chizu;Original
8.64;Slice of Life, Drama, Fantasy;TV;13;Kyoto Animation;Light novel
8.64;Psychological, Drama, Thriller, Fantasy;TV;12;White Fox;Light novel
8.63;Mystery, Police, Psychological, Supernatural, Thriller, Shounen;TV;37;Madhouse;Manga
8.63;Drama, Psychological, Seinen, Sports;TV;11;Tatsunoko Production;Manga
8.63;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;Movie;1;Artland;Manga
8.62;Action, Demons, Historical, Shounen, Supernatural;TV;26;ufotable;Manga
8.61;Mystery, Comedy, Psychological, Romance;TV;11;Madhouse;Novel
8.61;Action, Mystery, Supernatural, Vampire;Movie;1;Shaft;Light novel
8.61;Action, Adventure, Shounen;TV;39;David Production;Manga
8.61;Slice of Life, Comedy;TV;13;C-Station;Manga
8.6;Slice of Life, Demons, Supernatural, Drama, Shoujo;TV;13;Brain's Base;Manga
8.6;Comedy, Sports, Drama, Shounen;TV;25;Madhouse, MAPPA;Manga
8.6;Drama, Historical, Josei;TV;13;Studio Deen;Manga
8.6;Slice of Life, Comedy, Romance, School, Shounen;TV;13;CloverWorks;Manga
8.59;Action, Supernatural, Magic, Fantasy;TV;12;ufotable;Light novel
8.59;Slice of Life, Demons, Supernatural, Drama, Shoujo;TV;11;Shuka;Manga
8.59;Action, Fantasy, Magic, Supernatural;Movie;1;ufotable;Visual novel
8.59;Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen;TV;12;Wit Studio;Manga
8.59;Drama;Movie;1;Studio VOLN;Novel
8.58;Comedy, Drama, Romance, Shounen;TV;25;J.C.Staff;Manga
6.74;Comedy, Josei, Shounen Ai;Movie;1;Gathering;Manga
8.58;Action, Comedy, Historical, Parody, Samurai, Shounen;Special;2;Unknown;Manga
8.57;Action, Mecha, Sci-Fi, Space, Super Power;Movie;1;Gainax;Original
8.57;Slice of Life, Demons, Supernatural, Drama, Shoujo;TV;13;Brain's Base;Manga
8.57;Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen;Special;1;Artland;Manga
8.57;Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural;TV;12;Madhouse;Web manga
8.57;Adventure, Comedy, Drama;TV;13;Madhouse;Original
8.57;Comedy, Sports, Drama, School, Shounen;TV;12;Production I.G;Manga
8.56;Action, Mystery, Supernatural, Drama, Romance, Thriller;Movie;1;ufotable;Light novel
8.54;Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen;TV;26;Production I.G;Manga
8.54;Action, Comedy, School, Shounen;TV;25;Lerche;Manga
8.54;Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo;TV;25;TMS Entertainment;Manga
8.54;Action, Demons, Supernatural, School, Shounen;TV;24;MAPPA;Manga
8.53;Comedy, Drama, School, Shounen, Sports;TV;101;Toei Animation;Manga
8.53;Sci-Fi, Slice of Life, Fantasy, Shounen;TV;13;Hal Film Maker;Manga
8.53;Comedy, Sports, Drama, School, Shounen;TV;25;Production I.G;Manga
8.53;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;13;Bandai Namco Pictures;Manga
5.89;Music, Comedy;Music;1;Unknown;Game
8.52;Drama, Historical, Seinen, Thriller;TV;26;Madhouse;Manga
8.52;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;Movie;1;Sunrise;Manga
8.52;Comedy, Sci-Fi, Seinen, Slice of Life, Space;TV;99;A-1 Pictures;Manga
8.52;Game, Slice of Life, Sports, Drama, School, Josei;TV;24;Madhouse;Manga
8.52;Adventure, Comedy, Fantasy, Magic, Parody, Supernatural;Movie;1;J.C.Staff;Light novel
8.51;Sci-Fi, Dementia, Psychological, Drama, Mecha;Movie;1;Gainax, Production I.G;Original
8.51;Drama, Historical;Movie;1;Studio Ghibli;Novel
8.51;Sci-Fi, Thriller;TV;23;White Fox;Visual novel
8.51;Action, Adventure, Comedy, Supernatural, Drama, Shounen;TV;39;David Production;Manga
8.5;Action, Adventure, Comedy, Historical, Samurai, Shounen;TV;26;Manglobe;Original
8.5;Sci-Fi, Drama;Movie;1;White Fox;Visual novel
8.5;Mystery, Comedy, Supernatural, Vampire;Movie;6;Shaft;Light novel
8.5;Action, Adventure, Mystery, Historical, Supernatural;ONA;15;B.CMAY PICTURES;Novel
8.5;Psychological, Drama, Thriller, Fantasy;TV;13;White Fox;Light novel
8.49;Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural;TV;25;OLM;Manga
8.49;Action, Slice of Life, Comedy, Supernatural;TV;12;Bones;Web manga
8.48;Dementia, Drama, Horror, Psychological;Movie;1;Madhouse;Novel
